Rank	Score	Penalty	Country	Name
73	100	-5605068107	Bangladesh	solaimanope
166	100	-6821518484	Bangladesh	Anachor
256	100	-8004126432	Bangladesh	mahmudsagar2020
263	100	-8076747931	Bangladesh	MahmudSagar
288	100	-8347600144	Bangladesh	S.N.Tanmoy
350	100	-8876245830	Bangladesh	Ashiq100
352	100	-8878310956	Bangladesh	ovis96
472	79	-6845098038	Bangladesh	no0B
483	79	-7630970605	Bangladesh	De.Wilde
687	72	-6688661213	Bangladesh	Nirjhor
762	72	-7206478357	Bangladesh	Sezan
840	72	-7671422006	Bangladesh	kzvd4729
884	72	-7909043000	Bangladesh	s_h_shahin
1097	72	-8932088911	Bangladesh	Shakil_CoU
1195	72	-9606830216	Bangladesh	ahshafi
1288	63	-4510361716	Bangladesh	VUAcoder
1320	63	-5178115087	Bangladesh	Jhamra
1404	63	-6754100250	Bangladesh	Samin
1448	63	-7485458529	Bangladesh	mahbubcseju
1576	63	-8856616613	Bangladesh	travelers
1617	63	-9358316769	Bangladesh	Takik
1755	51	-5117289647	Bangladesh	bertho_coder
1828	51	-6024596317	Bangladesh	Shefin
1854	51	-6281545597	Bangladesh	alif_biswas
1858	51	-6328651086	Bangladesh	_Dark_Shadow_
1969	51	-7057299117	Bangladesh	avivilla
1982	51	-7128960880	Bangladesh	_c_k_r_
2003	51	-7292390126	Bangladesh	shakil.ahamed
2025	51	-7367238452	Bangladesh	AmdSadi
2103	51	-7798262949	Bangladesh	NJRafi
2135	51	-7935122070	Bangladesh	Iftekhar_Hakim_K
2512	49	-8864788605	Bangladesh	sea_26
2534	45	-7395322553	Bangladesh	sudip95
2614	42	-4083002563	Bangladesh	wolve_rine
2616	42	-4128113377	Bangladesh	sabertooth_
2649	42	-4841292977	Bangladesh	ToErr
2686	42	-5485672704	Bangladesh	Tasdidur
2736	42	-5987227692	Bangladesh	Maruf
2760	42	-6293920788	Bangladesh	Rajib_119
2793	42	-6552622198	Bangladesh	err0r
2794	42	-6560928756	Bangladesh	rezowaans
2836	42	-6939789416	Bangladesh	badassiumoxide
2868	42	-7227296763	Bangladesh	Jami
2890	42	-7334441973	Bangladesh	ash_98
2921	42	-7533024472	Bangladesh	Arg_007
2922	42	-7536581702	Bangladesh	shahed95
2999	42	-7934951615	Bangladesh	enaim
3060	42	-8281363485	Bangladesh	Rogue33
3063	42	-8301900883	Bangladesh	Rudra_Das
3093	42	-8516687717	Bangladesh	Safayat
3140	42	-8763975807	Bangladesh	ansshohan
3142	42	-8771835840	Bangladesh	Shuvon
3154	42	-8856269597	Bangladesh	Tashdid_trdb
3193	42	-9120644370	Bangladesh	SK_Sabit
3202	42	-9165035899	Bangladesh	Sojal
3273	42	-9806574195	Bangladesh	PRANTO_DAS
3285	42	-10124655802	Bangladesh	Zarzees
