Rank	Score	Penalty	Country	Name
280	100	-85865563839	Bangladesh	tasmeemreza
484	75	-30933345840	Bangladesh	diponsaha007
602	75	-48041879792	Bangladesh	Rezan
621	75	-50539237832	Bangladesh	curly_braces
651	75	-52260221667	Bangladesh	farhanshahoriar
699	75	-54791759055	Bangladesh	Tashfiq
781	75	-56599796115	Bangladesh	sawrav-chowdhury
1539	75	-73493843911	Bangladesh	Shajal525
1757	75	-80086989893	Bangladesh	s_da_sailor
1804	75	-82194058289	Bangladesh	Safayat
2032	75	-93123391728	Bangladesh	RHT_20
2642	68	-33985012198	Bangladesh	Rudra_Das
2690	68	-37041492651	Bangladesh	Rogue33
2853	68	-44074320309	Bangladesh	Ragib2002
2941	68	-47429338520	Bangladesh	NJRafi
3107	68	-52995527933	Bangladesh	Sadman
3114	68	-53190544270	Bangladesh	iamsagar012
3258	68	-57749713566	Bangladesh	Jami
3372	68	-61266260717	Bangladesh	enaim
3452	68	-63824180910	Bangladesh	nightfury1204
3468	68	-64136938714	Bangladesh	math10
3515	68	-64984429730	Bangladesh	no0B
3551	68	-65785372839	Bangladesh	solaimanope
3559	68	-65973034089	Bangladesh	nafiz6
3755	68	-70884023471	Bangladesh	_Dark_Shadow_
3836	68	-73012787257	Bangladesh	ho-jo-bo-ro-lo
4014	68	-77404499065	Bangladesh	FrozenBlood
4028	68	-77736792878	Bangladesh	wolve_rine
4103	68	-80021212309	Bangladesh	RezwanArefin01
4258	68	-84005438114	Bangladesh	Raihanul
4294	68	-85463096336	Bangladesh	D_Luffy
4647	68	-99803740848	Bangladesh	Anachor
4839	59	-74429558900	Bangladesh	Joytun
5091	52	-41036131208	Bangladesh	kzvd4729
5094	52	-42140841705	Bangladesh	zn_Sourav
5169	52	-55272588396	Bangladesh	shaft49
5197	52	-57695617533	Bangladesh	Jhamra
5201	52	-58461056327	Bangladesh	Shuvro77
5231	52	-62141823243	Bangladesh	soul.departed
5270	52	-66699058682	Bangladesh	serotonin
5408	52	-80553801904	Bangladesh	Sherlock221B
