Rank	Score	Penalty	Country	Name
128	100	-57035375233	United Kingdom	Twillo
141	100	-62168138173	United Kingdom	psw
143	100	-62257606824	United Kingdom	ndkrempel
237	100	-78212630414	United Kingdom	beetree
267	100	-83733313802	United Kingdom	george_stelian
283	100	-86206305659	United Kingdom	DavidEdey
341	93	-55850575313	United Kingdom	Linguo
637	75	-51312301455	United Kingdom	markmb
675	75	-53336120950	United Kingdom	destroyer
713	75	-55167059447	United Kingdom	Tan()
1598	75	-75323057291	United Kingdom	Gigz
1604	75	-75545711344	United Kingdom	JohnSmith
1871	75	-85084002278	United Kingdom	tallulabellm
1873	75	-85112498886	United Kingdom	badger4life
2126	75	-96694770770	United Kingdom	Zherui
2151	75	-97606278864	United Kingdom	alex1770
2245	68	-7063054948	United Kingdom	Binnie
2250	68	-7276566787	United Kingdom	maxsmith
2288	68	-10296922977	United Kingdom	AMorson
2299	68	-11925115168	United Kingdom	Bradrin
2434	68	-21920233105	United Kingdom	jaems
2747	68	-39465975848	United Kingdom	whyando
2870	68	-44961608081	United Kingdom	Saravanan21
2873	68	-45077692248	United Kingdom	Greatlemer
2950	68	-47726213160	United Kingdom	Feadoor
2966	68	-48291495597	United Kingdom	brasspots
2999	68	-49499658673	United Kingdom	thetenthturnip
3031	68	-50591316885	United Kingdom	mjs16
3084	68	-52455642897	United Kingdom	Mikov
3091	68	-52672204116	United Kingdom	ChrisKnott
3172	68	-55258116521	United Kingdom	THJSmith
3174	68	-55300399495	United Kingdom	robostac
3175	68	-55342122766	United Kingdom	blinky
3182	68	-55500962012	United Kingdom	fanache99
3275	68	-58404787276	United Kingdom	atatomir
3386	68	-61673114708	United Kingdom	antoineo7
3568	68	-66187069532	United Kingdom	SuperJim
3677	68	-68869337067	United Kingdom	dratini0
3711	68	-69492656513	United Kingdom	shopel
3742	68	-70413161530	United Kingdom	euan.l.y.ong
3746	68	-70513317636	United Kingdom	redsquirrel
3751	68	-70712783930	United Kingdom	quantumpunk
3776	68	-71429442763	United Kingdom	Robertgiball
3839	68	-73057485948	United Kingdom	toonjim89
3876	68	-73848706881	United Kingdom	andy11111
3899	68	-74188991461	United Kingdom	QuantumCaffeine
3921	68	-74760325895	United Kingdom	Paul.T
3928	68	-75016643060	United Kingdom	KernelJ
3976	68	-76308885043	United Kingdom	KamilJ
4068	68	-78927814875	United Kingdom	Carisuuuuu
4085	68	-79391153463	United Kingdom	IanSleightholme
4120	68	-80403055854	United Kingdom	ejrolls
4149	68	-81161213798	United Kingdom	Pasqual45
4161	68	-81379867295	United Kingdom	tkhomas
4227	68	-83092784359	United Kingdom	jfielding
4230	68	-83164810107	United Kingdom	Mobius
4257	68	-83986578968	United Kingdom	carrexxon
4331	68	-86555441710	United Kingdom	Liirusik
4387	68	-88244044658	United Kingdom	natpat
4425	68	-89638512592	United Kingdom	Birid
4442	68	-90343855966	United Kingdom	ACShah
4492	68	-92223631971	United Kingdom	basimkhajwal
4532	68	-93891897826	United Kingdom	TDove
4553	68	-94508902316	United Kingdom	Nikaustr
4555	68	-94559397036	United Kingdom	iivvaann.andreev@gmail.com
4558	68	-94782950934	United Kingdom	peternal.flame
4565	68	-94956823113	United Kingdom	Smithers
4605	68	-96192607104	United Kingdom	bens
4648	68	-100270238607	United Kingdom	Quantum_Graviton
5009	52	-13680012820	United Kingdom	kaspartu
5064	52	-34946771572	United Kingdom	erictong
5121	52	-47732520222	United Kingdom	dabar
5135	52	-50051214451	United Kingdom	NikolaYolov
5139	52	-50574985017	United Kingdom	FC100
5165	52	-54994136844	United Kingdom	BorisDeletic
5273	52	-66906861089	United Kingdom	graeme
5276	52	-67459612692	United Kingdom	JasonYZhang
5323	52	-71002827100	United Kingdom	vimtone
