Rank	Score	Penalty	Country	Name
72	100	-38742886791	Vietnam	atoiz2003
95	100	-46096464635	Vietnam	chemthan
112	100	-52794044789	Vietnam	@vhnvn
122	100	-55518845987	Vietnam	Maripium
136	100	-60130493280	Vietnam	Thanh15Ti
228	100	-76103847944	Vietnam	kuroni
290	100	-87096426154	Vietnam	dqhungdl
314	100	-92233460806	Vietnam	huyvvo
336	100	-97347577218	Vietnam	Kanon.Nakagawa
459	75	-25114960581	Vietnam	qweiop77
542	75	-40137533257	Vietnam	Wan.2000
555	75	-41885177377	Vietnam	tungnp92
586	75	-46355919156	Vietnam	Lightmoon
669	75	-53117603376	Vietnam	davidtran91
715	75	-55205269234	Vietnam	HaRiSK
955	75	-59411878880	Vietnam	linhht99
1162	75	-63897710486	Vietnam	krilzo
1219	75	-65278245291	Vietnam	iostream
1260	75	-66145567020	Vietnam	nguyenquangminh0711
1328	75	-67575182871	Vietnam	makacha
1628	75	-76049500262	Vietnam	wangvn2508
1635	75	-76226341294	Vietnam	dietcovid
1738	75	-79357272764	Vietnam	kehan88
1739	75	-79436741830	Vietnam	darkkcyan
1785	75	-81230908732	Vietnam	winkhanh
1852	75	-83840344780	Vietnam	duthngo
1882	75	-85198749598	Vietnam	mpn94
1891	75	-85748667004	Vietnam	hieule22
2067	75	-94669219299	Vietnam	rcmb
2069	75	-94809072535	Vietnam	ndkhaivn
2084	75	-95302947289	Vietnam	connongdan
2184	74	-43976262282	Vietnam	EmperorQT
2188	74	-55488891281	Vietnam	6aren
2216	68	-5414529503	Vietnam	baohiep
2319	68	-13922301583	Vietnam	TungMPhung
2321	68	-14038516067	Vietnam	neko_nyaa
2368	68	-17814329327	Vietnam	EntityIT
2385	68	-18653242603	Vietnam	minhsn22
2464	68	-23974862055	Vietnam	DatVu06
2482	68	-25211081049	Vietnam	thanglegons
2487	68	-25616500425	Vietnam	daipham
2488	68	-25624902906	Vietnam	Aeronara
2501	68	-26451318816	Vietnam	LeMinhQuang
2503	68	-26497071270	Vietnam	futanaristic
2541	68	-29148545210	Vietnam	Trung.Ore
2588	68	-31633293130	Vietnam	farmerboy
2590	68	-31770812771	Vietnam	ARinA
2663	68	-35487040345	Vietnam	tuananh238
2694	68	-37401380166	Vietnam	truongthanh
2721	68	-38712500902	Vietnam	thenymphsofdelphi
2733	68	-39049627286	Vietnam	SmileyKat
2762	68	-40007171559	Vietnam	avnyu
2845	68	-43951317620	Vietnam	lmchanh
2894	68	-45927771930	Vietnam	s34vv1nd
3171	68	-55237374299	Vietnam	leduythuc
3198	68	-56131750981	Vietnam	nxphuc
3254	68	-57603859235	Vietnam	ITMO.heiji
3360	68	-60958312312	Vietnam	infrmtcs
3401	68	-62261842112	Vietnam	zyenz123
3506	68	-64778124972	Vietnam	xuanquang1999
3655	68	-68221356221	Vietnam	ngfam
3657	68	-68230969303	Vietnam	duyboy1357
3784	68	-71662951491	Vietnam	boeingtuan
3935	68	-75200017962	Vietnam	thangtq139
4026	68	-77688635633	Vietnam	mbfibat
4432	68	-89878851459	Vietnam	low_
4451	68	-90747862661	Vietnam	huyn@iastate.edu
4655	67	-92583631150	Vietnam	joker.tainguyen
